datasetNum,priority,datasetName,dataRefuge,dataGov,edg.epa.gov,webArchiveLink,datasetSource,accurateSource,sourceUpdate,fileSize_downloadableData
15,,NEPAssist,https://www.datarefuge.org/dataset/https-www-epa-gov-nepa-nepassist,n/a,,https://web.archive.org/web/*/https://www.epa.gov/nepa/nepassist,https://www.epa.gov/nepa/nepassist,Y,,
16,,Discharge Monitoring Report (DMR) Pollutant Loading Tool,https://www.datarefuge.org/dataset/discharge-monitoring-report-dmr-pollutant-loading-tool,n/a,,https://web.archive.org/web/*/https://cfpub.epa.gov/dmr/adv_search.cfm,https://cfpub.epa.gov/dmr/adv_search.cfm,Y,,
17,,Total Deposition Estimates Using a Hybrid Approach with Modeled and Monitoring Data,https://www.datarefuge.org/dataset/total-deposition-estimates-using-a-hybrid-approach-with-modeled-and-monitoring-data,n/a,,N/A,ftp://ftp.epa.gov/castnet/tdep/images,N,,
18,,National Service Center for Environmental Publications Online Publication Title List,https://www.datarefuge.org/dataset/national-service-center-for-environmental-publications-online-publication-title-list,not found,not found,https://web.archive.org/web/*/https://nepis.epa.gov/EPA/html/pubs/pubtitle.html,https://nepis.epa.gov/EPA/html/pubs/pubtitle.html,Y,,
19,,"Concentrated Animal Feeding Operations (CAFOs) per County, 2013",https://www.datarefuge.org/dataset/concentrated-animal-feeding-operations-cafos-per-county-2013,https://catalog.data.gov/dataset/concentrated-animal-feeding-operations-cafos-per-county-downloadable-package-us-2013-us-epa,,https://web.archive.org/web/*/https://catalog.data.gov/dataset/concentrated-animal-feeding-operations-cafos-per-county-downloadable-package-us-2013-us-epa,https://catalog.data.gov/dataset/concentrated-animal-feeding-operations-cafos-per-county-downloadable-package-us-2013-us-epa,Y,,
20,,Clean Water Rule: Drinking Water Map,https://www.datarefuge.org/dataset/clean-water-rule-drinking-water-map,n/a,,https://web.archive.org/web/*/https://www.epa.gov/cleanwaterrule/documents-related-clean-water-rule,https://www.epa.gov/cleanwaterrule/documents-related-clean-water-rule,N,,
21,,Environmental Protection Agency: Resource Conservation and Recovery Act Information (RCRAInfo) database,https://www.datarefuge.org/dataset/environmental-protection-agency-resource-conservation-and-recovery-act-information-rcrainfo-database,https://catalog.data.gov/dataset/epa-facility-registry-service-frs-rcraf88fe,,https://web.archive.org/web/*/https://www3.epa.gov/enviro/facts/rcrainfo/search.html,https://www3.epa.gov/enviro/facts/rcrainfo/search.html,Y,,
22,,"Environmental Protection Agency (EPA) Staff Directory, 2017",https://www.datarefuge.org/dataset/environmental-protection-agency-epa-staff-directory-2017,n/a,,https://web.archive.org/web/*/https://cfpub.epa.gov/locator/index.cfm,https://cfpub.epa.gov/locator/index.cfm,,,
23,,EPA Environmental Justice Grant Programs,https://www.datarefuge.org/dataset/epa-environmental-justice-grant-programs,n/a,,https://web.archive.org/web/*/https://www.epa.gov/environmentaljustice/environmental-justice-funding-communities,https://www.epa.gov/environmentaljustice/environmental-justice-funding-communities,Y,,
24,,Environmental Justice Screening and Mapping Tool,https://www.datarefuge.org/dataset/environmental-justice-screening-and-mapping-tool,https://catalog.data.gov/dataset/environmental-justice-ejscreen-block-group-data-usepaa183f,,https://web.archive.org/web/*/https://www.epa.gov/ejscreen,https://www.epa.gov/ejscreen,Y,,
25,10,WATERS Mapping Services,https://www.datarefuge.org/dataset/waters-mapping-services,n/a,,https://web.archive.org/web/*/http://epa.gov/waterdata/waters-watershed-assessment-tracking-environmental-results-system,http://epa.gov/waterdata/waters-watershed-assessment-tracking-environmental-results-system,Y,,
26,10,Urban Environmental Program: Region 1: EPA New England,https://www.datarefuge.org/dataset/urban-environmental-program-region-1-epa-new-england,n/a,,https://web.archive.org/web/*/https://www3.epa.gov/region1/eco/uep/,https://www3.epa.gov/region1/eco/uep/,Y,,
27,1,TRI Dioxin and Dioxin-like Compounds and TEQ Data Files 2008-2015,https://www.datarefuge.org/dataset/tri-dioxin-and-dioxin-like-compounds-and-teq-data-files-2008-2015,https://catalog.data.gov/dataset/toxic-release-inventory-tri-8162e,,https://web.archive.org/web/*/https://www.epa.gov/toxics-release-inventory-tri-program/tri-dioxin-and-dioxin-compounds-and-teq-data-files-calendar,https://www.epa.gov/toxics-release-inventory-tri-program/tri-dioxin-and-dioxin-compounds-and-teq-data-files-calendar,Y,,
